rank,date,game,game_time,market,side,bet_label,odds,book,model_prob,market_prob,edge_pct,ev_pct,units,confidence,logistic_prob,xgboost_prob,elo_prob,model_std,home_goalie,away_goalie,home_sv_pct,away_sv_pct,ou_line,exp_total,pl_line,key_edges,conf_factors
1,2026-03-30,VAN @ VGK,2026-03-31T02:00:00Z,ML,away,Vancouver Canucks ML,280,fanduel,0.4869,0.2516,23.53,85.03,1.0,70,0.6107,0.5132,0.6721,0.0654,Akira Schmid,Kevin Lankinen,0.8925,0.876,,,,GF/game gap (+0.52) | Elo strength gap (+90 pts),Both goalies confirmed
2,2026-03-30,VAN @ VGK,2026-03-31T02:00:00Z,PL,away,Vancouver Canucks +1.5 (Puck Line),118,fanduel,0.6632,0.4373,22.58,44.57,1.0,70,0.6107,0.5132,0.6721,0.0654,Akira Schmid,Kevin Lankinen,0.8925,0.876,,,1.5,Vegas Golden Knights specialises in 1-goal wins (bad -1.5),Both goalies confirmed
3,2026-03-30,CGY @ COL,2026-03-31T00:30:00Z,ML,away,Calgary Flames ML,310,fanduel,0.4138,0.2336,18.01,69.66,1.0,70,0.7571,0.5853,0.691,0.0708,Scott Wedgewood,Dustin Wolf,0.9164,0.8987,,,,GF/game gap (+0.87) | Elo strength gap (+105 pts),Both goalies confirmed
4,2026-03-30,CGY @ COL,2026-03-31T00:30:00Z,PL,away,Calgary Flames +1.5 (Puck Line),124,fanduel,0.6319,0.4253,20.65,41.54,1.0,70,0.7571,0.5853,0.691,0.0708,Scott Wedgewood,Dustin Wolf,0.9164,0.8987,,,1.5,,Both goalies confirmed
5,2026-03-30,TOR @ ANA,2026-03-31T02:00:00Z,ML,away,Toronto Maple Leafs ML,155,fanduel,0.4869,0.3753,11.16,24.17,1.0,60,0.7104,0.5104,0.5633,0.0846,Lukas Dostal,Joseph Woll,0.8937,0.9044,,,,,"Both goalies confirmed, High model disagreement"
6,2026-03-30,PIT @ NYI,2026-03-30T23:00:00Z,PL,away,Pittsburgh Penguins +1.5 (Puck Line),-235,fanduel,0.7642,0.6674,9.68,8.93,1.0,80,0.555,0.6064,0.5511,0.0252,Ilya Sorokin,Arturs Silovs,0.9136,0.8915,,,1.5,New York Islanders specialises in 1-goal wins (bad -1.5),"Both goalies confirmed, Strong model agreement"
7,2026-03-30,TOR @ ANA,2026-03-31T02:00:00Z,PL,away,Toronto Maple Leafs +1.5 (Puck Line),-154,fanduel,0.6994,0.5759,12.35,15.35,1.0,60,0.7104,0.5104,0.5633,0.0846,Lukas Dostal,Joseph Woll,0.8937,0.9044,,,1.5,Anaheim Ducks specialises in 1-goal wins (bad -1.5),"Both goalies confirmed, High model disagreement"
